Area,Adjusted,19-Jan,19-Feb,19-Mar,19-Apr,19-May,19-Jun,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,20-Aug,20-Sep,20-Oct,20-Nov,20-Dec
United States (Not Seasonally Adjusted),n,162104000,162793000,162823000,162097000,162655000,164120000,164941000,164019000,163943000,164576000,164386000,164007000,163497000,164235000,162537000,155830000,157975000, - , - , - , - , - , - , - 
Oregon (Not Seasonally Adjusted),n,2092729,2098128,2096772,2092686,2092575,2113944,2126411,2123490,2109356,2109185,2103774,2089779,2088894,2100525,2104141,2101238,2110532, - , - , - , - , - , - , - 
"Albany, OR MSA (Not Seasonally Adjusted)",n,58979,59152,58877,58968,58533,58902,58253,58418,58338,58943,58829,58446,58702,58878,59180,60724,59910, - , - , - , - , - , - , - 
"Bend-Redmond, OR MSA (Not Seasonally Adjusted)",n,95294,95242,94850,95049,95754,97100,97698,97993,96932,96369,95449,95386,95424,95628,95746,96249,97176, - , - , - , - , - , - , - 
"Corvallis, OR MSA (Not Seasonally Adjusted)",n,48107,48788,48747,48457,48453,49120,46188,46439,47015,48875,49105,48517,48517,49214,49525,47671,47359, - , - , - , - , - , - , - 
"Eugene, OR MSA (Not Seasonally Adjusted)",n,180816,180902,181248,180683,180388,181181,179377,179490,179020,181792,181668,180491,181113,182398,182681,180016,182536, - , - , - , - , - , - , - 
"Grants Pass, OR MSA (Not Seasonally Adjusted)",n,35758,35761,35615,35518,35781,36143,35865,36275,35985,35818,35590,35320,35505,35664,35824,35928,36148, - , - , - , - , - , - , - 
"Medford, OR MSA (Not Seasonally Adjusted)",n,102959,103304,103253,102912,102918,103596,103568,104367,104447,104139,103552,102395,101275,102301,101891,102887,105133, - , - , - , - , - , - , - 
"Portland-Vancouver-Hillsboro, OR-WA MSA (Not Seasonally Adjusted)",n,1320792,1324686,1324868,1319297,1315744,1322096,1331809,1333061,1325943,1331691,1334229,1332520,1330293,1335977,1330450,1329175,1335054, - , - , - , - , - , - , - 
"Salem, OR MSA (Not Seasonally Adjusted)",n,199087,200324,200439,199664,200385,203756,205343,204630,203390,202380,201777,199689,199076,201531,202187,198684,199845, - , - , - , - , - , - , - 
Baker County (Not Seasonally Adjusted),n,7102,7101,7022,7039,7083,7131,7108,7202,7171,7256,7170,7056,7010,7007,7045,7129,6971, - , - , - , - , - , - , - 
Benton County (Not Seasonally Adjusted),n,48107,48788,48747,48457,48453,49120,46188,46439,47015,48875,49105,48517,48517,49214,49525,47671,47359, - , - , - , - , - , - , - 
Clackamas County (Not Seasonally Adjusted),n,218408,219196,219230,218551,217809,219038,221108,221315,219773,219951,220206,219024,218686,219763,220069,218466,219326, - , - , - , - , - , - , - 
Clatsop County (Not Seasonally Adjusted),n,18822,18942,19065,19217,19465,19754,20228,20046,19849,19446,19154,18634,18656,18847,19071,19063,18908, - , - , - , - , - , - , - 
Columbia County (Not Seasonally Adjusted),n,24452,24530,24456,24379,24246,24367,24569,24551,24384,24417,24464,24418,24516,24589,24552,24434,24281, - , - , - , - , - , - , - 
Coos County (Not Seasonally Adjusted),n,26135,26449,26310,25966,26244,26340,26185,26375,26057,25935,25951,25815,25770,26084,26068,26811,26771, - , - , - , - , - , - , - 
Crook County (Not Seasonally Adjusted),n,9492,9471,9452,9466,9536,9751,9810,9837,9751,9593,9494,9457,9516,9502,9499,9710,9799, - , - , - , - , - , - , - 
Curry County (Not Seasonally Adjusted),n,8623,8815,8840,8669,8832,9034,9100,9321,9170,8984,8732,8620,8617,8698,8679,8684,8748, - , - , - , - , - , - , - 
Deschutes County (Not Seasonally Adjusted),n,95294,95242,94850,95049,95754,97100,97698,97993,96932,96369,95449,95386,95424,95628,95746,96249,97176, - , - , - , - , - , - , - 
Douglas County (Not Seasonally Adjusted),n,46670,46507,46237,45817,45903,46356,46695,46870,46645,46398,46139,45829,46206,46142,46322,47102,47183, - , - , - , - , - , - , - 
Gilliam County (Not Seasonally Adjusted),n,940,962,981,999,995,1006,996,966,912,877,860,868,886,905,898,896,881, - , - , - , - , - , - , - 
Grant County (Not Seasonally Adjusted),n,3205,3149,3123,3116,3158,3324,3264,3304,3240,3181,3109,3049,3062,3064,3112,3200,3182, - , - , - , - , - , - , - 
Harney County (Not Seasonally Adjusted),n,3569,3524,3514,3548,3594,3597,3669,3692,3616,3584,3534,3481,3453,3435,3466,3501,3487, - , - , - , - , - , - , - 
Hood River County (Not Seasonally Adjusted),n,13857,13727,13724,14010,13665,14539,16399,16439,15474,14332,13745,13736,13683,13366,13673,13571,12680, - , - , - , - , - , - , - 
Jackson County (Not Seasonally Adjusted),n,102959,103304,103253,102912,102918,103596,103568,104367,104447,104139,103552,102395,101275,102301,101891,102887,105133, - , - , - , - , - , - , - 
Jefferson County (Not Seasonally Adjusted),n,10122,10046,10064,10177,10269,10410,10290,10272,10118,10034,9892,9802,9973,9971,9900,9843,10043, - , - , - , - , - , - , - 
Josephine County (Not Seasonally Adjusted),n,35758,35761,35615,35518,35781,36143,35865,36275,35985,35818,35590,35320,35505,35664,35824,35928,36148, - , - , - , - , - , - , - 
Klamath County (Not Seasonally Adjusted),n,29491,29380,29068,29281,29449,29637,29548,29574,29479,29345,28736,28501,28671,28512,28632,29071,29047, - , - , - , - , - , - , - 
Lake County (Not Seasonally Adjusted),n,3579,3505,3469,3542,3587,3656,3826,3831,3770,3656,3566,3547,3474,3519,3512,3505,3563, - , - , - , - , - , - , - 
Lane County (Not Seasonally Adjusted),n,180816,180902,181248,180683,180388,181181,179377,179490,179020,181792,181668,180491,181113,182398,182681,180016,182536, - , - , - , - , - , - , - 
Lincoln County (Not Seasonally Adjusted),n,20586,20455,20514,20720,21018,21539,21506,21669,21243,20621,20362,19950,20081,20298,20298,20944,21245, - , - , - , - , - , - , - 
Linn County (Not Seasonally Adjusted),n,58979,59152,58877,58968,58533,58902,58253,58418,58338,58943,58829,58446,58702,58878,59180,60724,59910, - , - , - , - , - , - , - 
Malheur County (Not Seasonally Adjusted),n,12062,12027,12122,12334,12240,12469,12414,12630,12515,12478,12360,12116,12013,12180,12285,12453,12453, - , - , - , - , - , - , - 
Marion County (Not Seasonally Adjusted),n,159582,160637,160813,160261,160870,163663,164971,164387,163333,162210,161709,160104,159628,161623,162222,159713,160862, - , - , - , - , - , - , - 
Morrow County (Not Seasonally Adjusted),n,5558,5575,5564,5696,5713,5828,5971,5917,5917,5774,5592,5441,5518,5588,5603,5613,5510, - , - , - , - , - , - , - 
Multnomah County (Not Seasonally Adjusted),n,453953,455161,455019,453268,451939,453924,457534,458074,455572,456073,456657,455097,454571,456615,456871,463445,466298, - , - , - , - , - , - , - 
Polk County (Not Seasonally Adjusted),n,39505,39687,39626,39403,39515,40093,40372,40243,40057,40170,40068,39585,39448,39908,39965,38971,38983, - , - , - , - , - , - , - 
Sherman County (Not Seasonally Adjusted),n,882,894,898,906,908,942,994,1000,976,945,919,924,937,930,946,959,918, - , - , - , - , - , - , - 
Tillamook County (Not Seasonally Adjusted),n,11743,11789,11805,11838,11896,12094,12244,12318,12041,11775,11586,11416,11572,11650,11767,11843,11625, - , - , - , - , - , - , - 
Umatilla County (Not Seasonally Adjusted),n,36290,35806,35802,36373,37004,37683,38721,37882,37625,36892,36003,35266,35585,35698,35953,37583,36677, - , - , - , - , - , - , - 
Union County (Not Seasonally Adjusted),n,11997,12036,11989,11955,11989,12077,12008,11978,11804,11981,11758,11683,11744,11845,11917,12194,11403, - , - , - , - , - , - , - 
Wallowa County (Not Seasonally Adjusted),n,3324,3339,3344,3347,3446,3534,3644,3665,3517,3378,3268,3224,3233,3259,3272,3376,3320, - , - , - , - , - , - , - 
Wasco County (Not Seasonally Adjusted),n,12575,12531,12396,12504,12620,15604,18388,13726,12648,12541,12552,12236,12230,12233,12281,12429,12000, - , - , - , - , - , - , - 
Washington County (Not Seasonally Adjusted),n,323187,324373,324427,323441,322589,324809,327465,327126,325157,325734,326588,325176,324407,325690,325863,318046,320397, - , - , - , - , - , - , - 
Wheeler County (Not Seasonally Adjusted),n,697,727,729,720,734,726,719,710,739,737,719,697,729,741,724,684,653, - , - , - , - , - , - , - 
Yamhill County (Not Seasonally Adjusted),n,54410,54640,54578,54557,54433,54976,55715,55586,55063,54954,54687,54472,54483,54781,54828,54527,55059, - , - , - , - , - , - , - 