county,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Mar-20,Apr-20
Adair,46,50,71,48,37,20,38,35,34,34,40,26,35,88,602,1078
Allen,37,43,72,61,37,43,23,36,29,29,27,26,37,64,566,2069
Anderson,55,55,383,224,108,56,35,245,44,35,34,32,39,59,1073,1453
Ballard,27,41,40,43,25,22,32,37,25,26,26,13,28,44,301,455
Barren,139,159,239,191,142,125,117,224,89,105,215,92,115,300,2477,4960
Bath,42,80,138,50,31,33,32,79,27,22,45,22,31,69,467,1129
Bell,58,59,61,44,47,66,61,76,61,62,25,20,34,46,624,825
Boone,183,250,238,185,210,146,162,215,137,150,147,158,172,446,4708,9213
Bourbon,34,45,46,45,52,38,38,41,34,30,29,32,22,42,821,11327
Boyd,79,154,198,140,88,89,82,68,66,92,84,82,61,141,1649,2558
Boyle,60,105,110,72,67,85,90,92,81,76,65,67,54,74,1489,2059
Bracken,18,37,43,20,14,22,16,10,15,16,9,11,19,38,265,399
Breathitt,37,61,78,56,39,49,17,26,30,36,36,19,20,48,286,502
Breckinridge,71,83,112,68,47,34,54,67,39,38,35,43,46,66,702,1051
Bullitt,195,264,361,232,128,167,206,236,224,139,207,195,253,269,3891,4770
Butler,32,41,67,44,28,29,23,20,34,20,30,17,31,54,560,1759
Caldwell,71,59,62,59,36,45,32,44,47,134,69,43,45,49,480,837
Calloway,110,270,238,210,48,68,79,80,339,416,51,77,66,130,1423,2484
Campbell,119,169,162,124,115,94,97,118,74,119,75,98,98,289,3028,3712
Carlisle,8,10,17,15,11,10,4,17,5,3,3,5,9,19,117,206
Carroll,37,35,44,32,16,23,26,16,21,16,24,14,43,46,238,826
Carter,91,125,317,117,82,80,76,107,115,80,58,65,82,148,921,2879
Casey,32,56,73,37,23,33,32,344,30,14,24,36,20,1590,1356,3712
Christian,176,283,517,265,365,461,149,207,151,224,253,150,156,247,2453,4433
Clark,109,140,113,73,58,52,62,69,50,64,68,63,71,93,1831,2836
Clay,40,56,35,16,30,29,26,32,31,35,29,18,31,57,590,826
Clinton,22,22,33,30,38,18,18,21,9,17,47,25,32,23,149,298
Crittenden,29,33,34,26,19,22,18,13,10,22,13,22,26,41,225,371
Cumberland,49,32,42,18,7,14,10,14,11,19,20,22,8,15,185,237
Daviess,225,337,371,251,152,172,188,265,162,267,169,176,198,316,4370,5633
Edmonson,40,49,63,57,30,32,18,39,20,19,20,18,37,50,532,1070
Elliott,21,30,76,30,19,23,15,14,20,24,18,14,17,27,162,253
Estill,35,27,63,26,21,23,27,27,41,12,19,16,25,34,555,970
Fayette,499,728,612,518,402,386,406,644,483,525,450,408,429,602,16838,31738
Fleming,43,57,88,54,46,25,23,44,32,36,32,22,29,59,658,862
Floyd,91,112,116,116,81,46,51,63,37,64,55,58,44,105,1305,2281
Franklin,103,633,231,99,133,72,81,110,87,87,78,60,100,113,2487,9149
Fulton,8,19,13,14,12,3,5,9,14,11,4,5,7,7,84,143
Gallatin,20,27,25,18,11,7,6,19,11,15,13,13,12,28,277,760
Garrard,44,52,61,47,27,33,35,45,29,23,47,30,33,51,710,1055
Grant,47,80,94,51,48,29,42,50,27,28,41,45,49,94,1264,1511
Graves,85,136,152,128,77,61,73,95,83,98,47,69,64,114,1172,1970
Grayson,113,259,292,474,359,237,72,193,67,67,146,74,52,481,1505,5137
Green,31,35,61,33,17,15,14,37,21,22,18,28,22,41,426,825
Greenup,81,95,196,121,48,41,40,50,60,55,69,58,45,85,966,2934
Hancock,11,24,17,8,12,16,27,19,10,18,10,9,11,18,198,3647
Hardin,284,1268,936,274,204,215,246,1303,1148,200,197,221,267,1338,5916,9419
Harlan,65,115,141,78,56,55,70,360,37,52,26,20,32,36,694,956
Harrison,34,56,39,30,20,27,29,34,19,17,35,46,38,51,838,1365
Hart,49,54,101,135,45,47,26,35,26,31,30,51,30,92,694,4480
Henderson,85,98,111,106,143,55,55,52,41,64,53,62,53,81,1499,2139
Henry,28,48,56,39,39,35,60,47,21,18,26,22,41,54,739,869
Hickman,8,14,22,18,7,5,10,13,6,7,5,4,1,16,104,152
Hopkins,182,147,173,134,115,123,70,118,125,174,155,121,111,120,1745,8117
Jackson,35,46,52,40,34,15,23,16,26,25,27,8,21,35,426,1364
Jefferson,1891,2614,3168,1965,1296,1541,1908,5870,2175,1729,2126,2014,5837,2312,12889,19497
Jessamine,97,129,101,74,68,76,68,78,89,77,83,67,59,103,2357,3549
Johnson,58,92,90,61,47,36,45,32,20,49,38,43,51,86,698,976
Kenton,221,319,333,254,248,217,201,249,177,211,193,190,183,676,6180,8014
Knott,27,30,44,25,30,18,26,28,14,31,17,17,10,30,404,507
Knox,65,54,57,56,45,45,51,63,50,44,53,50,32,56,1093,3658
Larue,32,45,66,39,24,24,22,45,29,22,27,23,33,62,815,1061
Laurel,155,150,145,111,102,81,96,126,134,111,81,89,89,118,2943,4660
Lawrence,48,52,75,47,35,41,20,30,20,26,36,24,35,35,310,568
Lee,13,20,35,15,16,19,10,5,13,18,6,13,10,17,169,291
Leslie,13,39,74,31,37,25,22,97,15,14,13,13,6,17,336,326
Letcher,44,75,87,63,74,34,66,129,27,21,20,25,17,41,592,739
Lewis,43,65,101,47,38,43,29,44,30,32,52,27,30,79,397,643
Lincoln,74,115,141,58,46,56,79,88,67,37,68,77,56,98,1233,1682
Livingston,28,48,73,32,26,15,29,18,16,32,18,28,42,67,339,433
Logan,30,58,83,54,52,68,48,61,41,32,34,29,53,77,966,1525
Lyon,22,22,48,33,15,12,6,21,18,37,18,21,11,33,216,332
Madison,230,222,286,156,123,117,153,165,184,193,174,133,132,186,4636,5858
Magoffin,114,127,141,93,64,48,49,52,48,49,38,38,57,111,524,619
Marion,49,79,161,50,36,37,60,78,46,35,50,42,42,75,1810,1693
Marshall,121,193,195,149,66,80,73,93,111,125,53,92,108,167,1311,1829
Martin,41,49,30,9,10,14,17,19,10,10,8,11,17,27,161,243
Mason,49,49,93,45,26,35,46,70,47,29,23,27,33,49,719,1162
McCracken,190,278,335,237,172,147,184,152,157,186,152,174,192,229,2862,5036
McCreary,29,38,62,35,30,27,24,32,23,22,34,14,19,49,398,655
McLean,27,37,39,27,19,25,25,29,25,27,26,22,23,32,251,366
Meade,67,80,120,57,43,48,60,78,67,46,76,51,66,87,1150,1516
Menifee,30,52,67,36,17,21,12,35,30,24,22,17,33,46,216,351
Mercer,53,71,88,96,109,98,40,59,41,41,45,50,50,80,1344,7747
Metcalfe,49,65,76,42,38,34,45,39,71,18,23,20,18,35,426,1603
Monroe,100,35,63,14,20,35,26,41,18,16,13,14,97,165,376,692
Montgomery,85,111,167,82,58,62,82,156,86,66,88,66,73,129,1432,2055
Morgan,63,47,102,47,16,26,19,25,27,35,23,20,56,62,302,530
Muhlenberg,117,154,191,121,98,86,66,87,77,90,88,69,80,109,1001,1577
Nelson,156,185,453,166,85,83,115,196,123,68,112,112,146,204,3122,5287
Nicholas,14,21,30,24,27,21,18,11,8,23,9,15,17,16,305,1298
Ohio,79,142,121,82,51,58,61,87,76,60,43,57,88,118,806,1319
Oldham,58,93,113,76,57,58,93,84,69,64,81,80,68,121,2224,3053
Owen,25,29,23,26,16,10,9,15,9,13,12,10,11,36,395,645
Owsley,13,9,13,13,10,4,3,6,3,6,3,4,9,17,57,137
Pendleton,36,36,47,27,31,33,13,14,14,26,15,20,19,56,488,581
Perry,63,95,109,69,76,63,52,66,35,34,34,32,30,71,1035,1123
Pike,125,200,188,150,170,187,101,110,73,295,73,64,57,108,1781,2543
Powell,43,54,80,42,32,23,16,27,35,23,25,23,29,51,477,726
Pulaski,220,186,307,167,131,99,107,400,313,319,399,346,338,701,3316,4245
Robertson,7,4,13,2,4,5,,5,1,3,3,5,8,3,70,96
Rockcastle,70,52,73,27,22,26,25,19,24,26,36,39,16,47,691,858
Rowan,66,79,156,78,64,45,55,78,54,86,50,40,38,84,1072,1889
Russell,42,42,52,56,44,40,27,29,37,35,27,47,78,82,896,3628
Scott,98,128,147,104,88,76,81,123,86,79,76,95,82,111,3850,9674
Shelby,80,91,113,57,61,66,131,154,66,48,59,58,144,107,2306,2703
Simpson,30,52,85,93,76,113,49,62,28,28,32,31,48,78,1195,3580
Spencer,35,43,67,32,28,25,58,49,39,25,26,33,59,60,855,1119
Taylor,53,95,264,86,26,33,45,184,63,61,82,70,51,85,1512,2923
Todd,11,23,39,23,53,46,16,17,13,12,16,26,26,35,256,446
Trigg,62,84,140,140,48,66,23,32,24,37,39,49,30,53,546,872
Trimble,14,26,29,21,33,34,19,24,9,13,15,15,29,21,237,351
Union,30,36,39,38,85,17,18,24,19,11,14,25,8,26,578,1091
Warren,347,434,462,601,337,360,190,292,321,278,192,171,199,434,6980,14102
Washington,31,41,75,40,27,24,21,38,23,16,18,23,21,43,863,813
Wayne,42,60,88,59,63,41,37,53,32,39,68,29,44,57,854,1062
Webster,37,41,44,34,38,17,20,27,19,40,42,29,28,29,349,520
Whitley,46,96,125,83,78,48,43,57,48,63,49,57,42,60,1279,2761
Wolfe,24,40,53,37,14,15,15,12,29,8,12,24,37,48,179,363
Woodford,33,58,44,70,85,60,31,78,35,29,35,30,20,53,1172,1696