county,3/28/20,3/21/20,4/4/20,4/18/20,4/11/20,5/2/20,4/25/20,5/16/20,5/9/20,5/30/20,5/23/20,6/13/20,6/6/20,6/20/13
Albany,4536,934,3477,1856,3776,2053,2278,2268,2085,814,2122,1078,960,"1,037"
Allegany,520,137,462,271,496,245,322,326,284,139,243,143,153,104
Bronx,23722,5274,23721,17593,28461,16713,18245,21301,18451,10662,20048,11091,11034,"9,906"
Broome,3197,654,2948,1622,3079,1314,1503,1517,1246,550,1293,675,653,912
Cattaraugus,1486,316,1118,741,1686,615,694,657,605,177,525,243,268,221
Cayuga,1528,233,1233,637,1237,511,643,589,597,203,490,287,269,248
Chautauqua,2469,487,1971,1127,2289,864,1233,1023,832,397,865,445,445,473
Chemung,1611,247,1292,665,1138,620,845,730,755,572,578,231,356,330
Chenango,614,78,571,295,564,282,369,321,274,112,285,135,217,130
Clinton,1355,250,1406,626,1223,541,640,811,663,308,599,280,356,275
Columbia,686,153,702,324,744,384,457,469,366,118,426,138,177,178
Cortland,913,142,675,295,668,296,427,382,334,131,326,121,203,130
Delaware,419,102,465,232,474,221,274,309,247,90,229,90,135,91
Dutchess,4925,861,4459,2260,4969,2343,2537,2448,2091,863,2146,1045,964,934
Erie,25582,4640,17355,9178,18040,9197,10086,9280,9122,3042,7818,3929,3843,"3,763"
Essex,312,99,254,115,246,102,140,140,98,40,116,37,57,44
Franklin,756,171,646,250,623,334,453,367,357,101,273,104,125,72
Fulton,960,108,665,345,663,359,409,452,392,121,359,151,158,143
genesee,1308,268,886,421,931,482,589,480,450,178,383,203,229,176
Greene,781,227,627,311,651,331,402,397,314,145,355,139,166,130
Hamilton,312,99,254,115,246,102,140,140,98,40,116,37,57,44
Herkimer,1059,165,1094,393,790,413,600,420,402,152,365,181,166,188
Jefferson,1952,378,1462,671,1490,641,955,670,637,142,407,190,221,211
Kings,43558,12642,43658,29543,53275,29812,32272,35236,29898,12572,29428,14689,14095,"13,488"
Lewis,358,74,341,166,279,161,195,212,152,142,407,190,221,211
Livingston,1338,227,996,403,918,355,490,481,412,210,439,225,333,196
Madison,1249,197,1242,504,1229,453,660,491,467,169,363,200,230,210
Monroe,15902,3135,11507,5278,11689,5480,6049,7549,6087,3129,6918,3540,3644,"3,535"
Montgomery,990,155,819,395,715,389,461,392,444,175,437,179,189,128
Nassau,23241,3615,24564,13725,28064,12821,14047,13956,13384,4829,11673,5734,5510,"5,334"
New York,24711,8975,21757,13524,26858,14205,15691,18091,15076,6963,16053,8147,7824,"7,576"
Niagara,7518,1131,4638,2138,4824,2185,2467,2148,2218,734,1823,858,990,782
Oneida,3861,664,3766,1809,3639,1811,1993,1832,1878,646,1559,788,821,760
Onondaga,9744,1796,8327,4082,8336,3941,4796,4295,3970,1496,3683,1756,1813,"1,867"
Ontario,2207,483,1033,460,1013,416,507,469,448,200,414,210,240,206
Orange,6223,1092,5669,3590,6530,3179,3661,3315,3079,1118,2850,1419,1491,"1,452"
Orleans,824,138,595,297,581,285,326,298,285,136,259,116,140,104
Oswego,2125,405,2137,1047,2188,982,1223,967,1052,371,865,443,444,477
Otsego,748,224,603,360,585,350,399,373,347,132,310,157,202,183
Putnam,1525,290,1516,745,1742,774,826,918,737,258,708,285,322,269
Queens,44348,10187,50458,37374,66128,32610,37109,36825,31725,11814,28293,13983,13508,"11,973"
Rensselaer,2543,585,2038,1033,2066,1039,1241,1187,1165,382,1060,545,537,493
Richmond,7459,1443,8064,5131,9803,4454,5711,5418,4343,1692,4050,2103,1901,"1,842"
Rockland,3698,659,3736,2168,4475,2412,2551,3046,2784,1047,2940,1305,1074,"1,231"
Saratoga,4472,969,3355,1654,3453,1702,1975,1799,1762,556,1426,779,889,748
Schenectady,3003,576,2384,1196,2547,1381,1611,1453,1422,565,1380,545,643,588
Schoharie,382,94,315,170,332,158,179,188,231,68,165,70,74,93
Schuyler,384,69,302,342,773,384,459,492,541,600,363,171,,162
Seneca,567,122,469,294,573,216,294,206,216,66,193,84,92,68
St. Lawrence,1345,352,1298,295,1341,568,914,548,572,165,473,234,261,239
Steuben,2036,324,1507,342,773,384,459,492,541,600,363,171,278,162
Suffolk,29149,4146,30797,15650,31462,13764,14545,24754,14312,5057,12444,6008,5850,5539
Sullivan,947,202,874,775,993,598,857,740,639,235,608,278,311,248
Tioga,818,147,799,338,809,298,406,346,282,122,260,112,156,168
Tompkins,1486,263,1075,496,974,521,608,663,648,289,591,308,470,263
Ulster,3445,716,2888,1477,3121,1454,1674,1655,1440,525,1438,629,620,580
Warren,1541,394,1086,552,1039,542,607,614,540,160,489,224,259,212
Washington,1082,234,799,433,753,460,521,431,385,136,403,162,189,162
Wayne,1611,282,1402,622,1489,573,698,720,629,220,584,321,311,307
Westchester,13488,2659,12617,7562,15008,5347,7849,8407,7564,3250,7471,3818,3721,3576
Wyoming,837,155,603,266,601,234,326,252,228,75,256,108,136,128
Yates,443,82,1033,460,1013,416,507,469,448,200,414,210,240,206
Out of State,16815,4827,18763,9891,399015,9529,10637,12337,10877,5280,11728,5557,5755,6327